################################################################
# ThreatFox IOCs: recent ip-port - CSV format                  #
# Last updated: 2026-02-20 16:02:11 UTC                        #
#                                                              #
# Terms Of Use: https://threatfox.abuse.ch/faq/#tos            #
# For questions please contact threatfox [at] abuse.ch         #
################################################################
#
# "first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","is_compromised","reference","tags","anonymous","reporter"
"2026-02-20 16:02:11", "1751347", "202.191.67.71:4446", "ip:port", "botnet_cc", "win.adaptix_c2", "None", "AdaptixC2", "", "100", "False", "https://search.censys.io/hosts/202.191.67.71", "AdaptixC2,AS131262,C2,censys,KELNET-AS-AP", "0", "DonPasci"
"2026-02-20 16:01:26", "1751346", "185.241.211.57:5000", "ip:port", "botnet_cc", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "", "100", "False", "https://search.censys.io/hosts/185.241.211.57", "028f45e8dd4f225cb46a7d8003745a3a7f55d3a0,AS210558,C2,censys,RAT,Remcos", "0", "DonPasci"
"2026-02-20 15:05:06", "1751336", "194.116.236.112:7232", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "2026-02-20 15:30:02", "100", "False", "None", "AsyncRAT,RAT", "0", "abuse_ch"
"2026-02-20 15:00:52", "1751333", "60.28.219.78:10001", "ip:port", "botnet_cc", "win.extreme_rat", "ExtRat", "Xtreme RAT", "", "100", "False", "https://search.censys.io/hosts/60.28.219.78", "AS4837,C2,censys,RAT", "0", "dyingbreeds_"
"2026-02-20 15:00:50", "1751332", "60.28.219.78:38423", "ip:port", "botnet_cc", "win.extreme_rat", "ExtRat", "Xtreme RAT", "", "100", "False", "https://search.censys.io/hosts/60.28.219.78", "AS4837,C2,censys,RAT", "0", "dyingbreeds_"
"2026-02-20 15:00:28", "1751331", "91.247.235.216:9042", "ip:port", "botnet_cc", "win.quasar_rat", "CinaRAT,QuasarRAT,Yggdrasil", "Quasar RAT", "2026-02-20 16:01:46", "100", "False", "https://search.censys.io/hosts/91.247.235.216", "AS59637,ASRSINET,C2,censys,RAT", "0", "dyingbreeds_"
"2026-02-20 15:00:24", "1751330", "181.162.164.151:8080", "ip:port", "botnet_cc", "win.quasar_rat", "CinaRAT,QuasarRAT,Yggdrasil", "Quasar RAT", "2026-02-20 16:01:46", "100", "False", "https://search.censys.io/hosts/181.162.164.151", "AS7418,C2,censys,RAT", "0", "dyingbreeds_"
"2026-02-20 15:00:06", "1751328", "213.55.242.27:4782", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "", "100", "False", "https://tria.ge/260220-rdtlrsct9e", "AsyncRAT", "0", "dyingbreeds_"
"2026-02-20 15:00:06", "1751329", "213.55.242.27:8848", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "", "100", "False", "https://tria.ge/260220-rdtlrsct9e", "AsyncRAT", "0", "dyingbreeds_"
"2026-02-20 12:53:36", "1751136", "217.60.1.121:8443", "ip:port", "botnet_cc", "win.meterpreter", "None", "Meterpreter", "2026-02-20 16:49:48", "75", "False", "None", "drb-ra,Metasploit,Meterpreter", "0", "abuse_ch"
"2026-02-20 12:02:48", "1751125", "3.10.143.189:12600", "ip:port", "botnet_cc", "win.meterpreter", "None", "Meterpreter", "", "100", "False", "https://search.censys.io/hosts/3.10.143.189", "AMAZON-02,AS16509,C2,censys,hacktool,MetaSploit,Meterpreter", "0", "DonPasci"
"2026-02-20 12:02:47", "1751122", "3.10.143.189:1200", "ip:port", "botnet_cc", "win.meterpreter", "None", "Meterpreter", "", "100", "False", "https://search.censys.io/hosts/3.10.143.189", "AMAZON-02,AS16509,C2,censys,hacktool,MetaSploit,Meterpreter", "0", "DonPasci"
"2026-02-20 12:02:47", "1751123", "3.10.143.189:3500", "ip:port", "botnet_cc", "win.meterpreter", "None", "Meterpreter", "", "100", "False", "https://search.censys.io/hosts/3.10.143.189", "AMAZON-02,AS16509,C2,censys,hacktool,MetaSploit,Meterpreter", "0", "DonPasci"
"2026-02-20 12:02:47", "1751124", "3.10.143.189:10050", "ip:port", "botnet_cc", "win.meterpreter", "None", "Meterpreter", "", "100", "False", "https://search.censys.io/hosts/3.10.143.189", "AMAZON-02,AS16509,C2,censys,hacktool,MetaSploit,Meterpreter", "0", "DonPasci"
"2026-02-20 12:02:46", "1751120", "196.75.213.61:2222", "ip:port", "botnet_cc", "win.meterpreter", "None", "Meterpreter", "", "100", "False", "https://search.censys.io/hosts/196.75.213.61", "AS36903,C2,censys,hacktool,MetaSploit,Meterpreter,MT-MPLS", "0", "DonPasci"
"2026-02-20 12:02:46", "1751121", "3.10.143.189:1000", "ip:port", "botnet_cc", "win.meterpreter", "None", "Meterpreter", "", "100", "False", "https://search.censys.io/hosts/3.10.143.189", "AMAZON-02,AS16509,C2,censys,hacktool,MetaSploit,Meterpreter", "0", "DonPasci"
"2026-02-20 12:02:45", "1751118", "3.38.102.73:35296", "ip:port", "botnet_cc", "win.meterpreter", "None", "Meterpreter", "", "100", "False", "https://search.censys.io/hosts/3.38.102.73", "AMAZON-02,AS16509,C2,censys,hacktool,MetaSploit,Meterpreter", "0", "DonPasci"
"2026-02-20 12:02:45", "1751119", "13.214.210.23:7073", "ip:port", "botnet_cc", "win.meterpreter", "None", "Meterpreter", "", "100", "False", "https://search.censys.io/hosts/13.214.210.23", "AMAZON-02,AS16509,C2,censys,hacktool,MetaSploit,Meterpreter", "0", "DonPasci"
"2026-02-20 12:02:44", "1751117", "199.101.111.28:3790", "ip:port", "botnet_cc", "win.meterpreter", "None", "Meterpreter", "", "100", "False", "https://search.censys.io/hosts/199.101.111.28", "AS58580,C2,censys,FASTRACK,hacktool,MetaSploit,Meterpreter", "0", "DonPasci"
"2026-02-20 11:00:24", "1751108", "52.207.16.109:8443", "ip:port", "botnet_cc", "win.havoc", "Havokiz", "Havoc", "2026-02-20 12:02:17", "100", "False", "https://search.censys.io/hosts/52.207.16.109", "AS14618,C2,censys", "0", "dyingbreeds_"
"2026-02-20 11:00:19", "1751107", "195.177.94.132:13443", "ip:port", "botnet_cc", "unknown", "None", "Unknown malware", "2026-02-20 12:02:14", "100", "False", "https://search.censys.io/hosts/195.177.94.132", "AS214961,C2,censys,Mythic,STELLARGROUPSAS", "0", "dyingbreeds_"
"2026-02-20 11:00:16", "1751106", "165.232.45.1:8000", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "2026-02-20 12:01:54", "100", "False", "https://search.censys.io/hosts/165.232.45.1", "AS14061,C2,censys,RAT", "0", "dyingbreeds_"
"2026-02-20 11:00:15", "1751105", "165.227.177.122:8808", "ip:port", "botnet_cc", "win.asyncrat", "None", "AsyncRAT", "2026-02-20 12:01:53", "100", "False", "https://search.censys.io/hosts/165.227.177.122", "AS14061,C2,censys,RAT", "0", "dyingbreeds_"
"2026-02-20 11:00:06", "1751104", "107.172.217.220:12096", "ip:port", "botnet_cc", "win.cobalt_strike", "Agentemis,BEACON,CobaltStrike,cobeacon", "Cobalt Strike", "2026-02-20 12:01:14", "100", "False", "https://search.censys.io/hosts/107.172.217.220", "AS36352,C2,censys", "0", "dyingbreeds_"
"2026-02-20 09:00:25", "1751088", "47.76.249.152:447", "ip:port", "botnet_cc", "win.valley_rat", "Winos", "ValleyRAT", "", "100", "False", "None", "RAT,ValleyRAT", "0", "abuse_ch"
"2026-02-20 08:51:36", "1751086", "95.216.212.8:8888", "ip:port", "botnet_cc", "win.sliver", "None", "Sliver", "2026-02-20 16:48:53", "75", "False", "None", "drb-ra,Sliver", "0", "abuse_ch"
"2026-02-20 08:47:26", "1751083", "185.180.198.3:2025", "ip:port", "botnet_cc", "win.ransomhub", "None", "RansomHub", "2026-02-20 16:46:01", "75", "False", "None", "drb-ra,RansomHub", "0", "abuse_ch"
"2026-02-20 08:47:26", "1751084", "185.180.198.3:443", "ip:port", "botnet_cc", "win.ransomhub", "None", "RansomHub", "2026-02-20 16:46:01", "75", "False", "None", "drb-ra,RansomHub", "0", "abuse_ch"
"2026-02-20 08:46:33", "1751081", "167.172.199.123:443", "ip:port", "botnet_cc", "win.sliver", "None", "Sliver", "2026-02-20 16:44:55", "75", "False", "None", "drb-ra,Sliver", "0", "abuse_ch"
"2026-02-20 08:46:33", "1751082", "167.172.199.123:8888", "ip:port", "botnet_cc", "win.sliver", "None", "Sliver", "2026-02-20 16:44:55", "75", "False", "None", "drb-ra,Sliver", "0", "abuse_ch"
"2026-02-20 08:46:17", "1751080", "163.181.208.79:4506", "ip:port", "botnet_cc", "win.deimos_c2", "None", "DeimosC2", "2026-02-20 16:44:46", "75", "False", "None", "Deimos,drb-ra", "0", "abuse_ch"
"2026-02-20 08:44:31", "1751079", "13.248.136.191:443", "ip:port", "botnet_cc", "win.deimos_c2", "None", "DeimosC2", "2026-02-20 16:43:44", "75", "False", "None", "Deimos,drb-ra", "0", "abuse_ch"
"2026-02-20 08:02:13", "1751071", "168.245.203.186:3790", "ip:port", "botnet_cc", "win.meterpreter", "None", "Meterpreter", "", "100", "False", "https://search.censys.io/hosts/168.245.203.186", "AS58580,C2,censys,FASTRACK,hacktool,MetaSploit,Meterpreter", "0", "DonPasci"
